ER0;KSH HOLDINGS LIMITED          
EB7;KTL GLOBAL LIMITED            
AYB;LAFE CORPORATION LIMITED      
ATO;LANG CAPITAL FUND             
L22;LANKOM ELECTRONICS LIMITED    
5EL;LASSETERS INTL HOLDINGS LTD   
BJL;LCT HOLDINGS LIMITED          
LS9;LEADER ENVIRONMENTAL TECH LTD 
593;LEE METAL GROUP LTD           
42H;LERENO BIO-CHEM LTD.          
Q0X;LEY CHOON GROUP HLDG LIMITED  
41O;LHN LIMITED                   
BEI;LHT HOLDINGS LIMITED          
L03;LIAN BENG GROUP LTD           
5TR;LIBRA GROUP LIMITED           
1D3;LIFEBRANDZ LTD.               
BRE;LINC ENERGY LTD               
BAZ;LION ASIAPAC LTD              
A78;LIONGOLD CORP LTD             
D5IU;LIPPO MALLS INDO RETAIL TRUST 
5VI;LOGISTICS HOLDINGS LIMITED    
O6Z;LONZA GROUP LTD               
5IE;LORENZO INTERNATIONAL LIMITED 
F1E;LOW KENG HUAT (SINGAPORE) LTD 
594;LOYZ ENERGY LIMITED           
L17;LTC CORPORATION LIMITED       
L19;LUM CHANG HOLDINGS LIMITED    
L09;LUNG KEE (BERMUDA) HLDGS LTD  
BKK;LUXKING GROUP HOLDINGS LIMITED
L46;LUZHOU BIO-CHEM TECHNOLOGY LTD
P60;LYXOR ASIA 10                 
P58;LYXOR CHINA H 10              
A0W;LYXOR COMMODITIES CRB FUND 10 
G1O;LYXOR COMMODITIES CRBNONENERGY
G1K;LYXOR ETF ASIA EX 10          
JC6;LYXOR ETF DOW JONES IA 10     
P2Q;LYXOR ETF INDONESIA 10        
H1N;LYXOR ETF MSCI EMERGING MKT 10
JC5;LYXOR ETF MSCI EUROPE 10      
G1N;LYXOR ETF MSCI INDIA 10       
G1M;LYXOR ETF MSCI MALAYSIA 10    
H1P;LYXOR ETF MSCI WORLD 10       
H1Q;LYXOR ETF NASDAQ100 10        
JC7;LYXOR ETF RUSSIA 10           
P2P;LYXOR ETF THAI SET 10         
A9B;LYXOR HANG SENG INDEX FUND 10 
AO9;LYXOR KOREA 10                
A9A;LYXOR MSCI TAIWAN INDEX FUND10
H1O;LYXORETF MSCI EM LATIN AMERICA
N14;M DEVELOPMENT LTD.            
B2F;M1 LIMITED                    
41S;MAGNUS ENERGY GROUP LTD.      
TY3;MAIWAI FUND                   
NC9;MALAYSIA SMELTING CORP BHD 100
M04;MANDARIN ORIENTAL INTL LTD    
L02;MANHATTAN RESOURCES LIMITED   
BTOU;MANULIFE US REIT              
N2IU;MAPLETREE COMMERCIAL TRUST    
RW0U;MAPLETREE GREATER CHINACOMM TR
ME8U;MAPLETREE INDUSTRIAL TRUST    
M44U;MAPLETREE LOGISTICS TRUST     
